ANZSCO_Code,ANZSCO_Title,Technology_tool,,
1111,Chief Executives and Managing Directors,Enterprise resource planning ERP software,,
1111,Chief Executives and Managing Directors,Project management software,,
1111,Chief Executives and Managing Directors,Accounting software,,
1111,Chief Executives and Managing Directors,Data base user interface and query software,,
1112,General Managers,Enterprise resource planning ERP software,,
1112,General Managers,Data base user interface and query software,,
1112,General Managers,"Simulation, design and modelling software",,
1112,General Managers,Data base reporting software,,
1112,General Managers,Customer relationship management CRM software,,
1112,General Managers,Business intelligence and data analysis software,,
1213,Livestock Farmers,Enterprise resource planning ERP software,,
1213,Livestock Farmers,GPS receivers,,
1214,Mixed Crop and Livestock Farmers,Enterprise resource planning ERP software,,
1214,Mixed Crop and Livestock Farmers,GPS receivers,,
1321,Corporate Services Managers,Enterprise resource planning ERP software,,
1321,Corporate Services Managers,Data base reporting software,,
1321,Corporate Services Managers,Project management software,,
1321,Corporate Services Managers,Customer relationship management CRM software,,
1321,Corporate Services Managers,Data base user interface and query software,,
1322,Finance Managers,Enterprise resource planning ERP software,,
1322,Finance Managers,Data base reporting software,,
1322,Finance Managers,Network conferencing software,,
1322,Finance Managers,Financial analysis software,,
1322,Finance Managers,Accounting software,,
1322,Finance Managers,Business intelligence and data analysis software,,
1323,Human Resource Managers,Document management software,,
1323,Human Resource Managers,Enterprise resource planning ERP software,,
1323,Human Resource Managers,Social media and web publishing software,,
1323,Human Resource Managers,Financial analysis software,,
1323,Human Resource Managers,Human resources software,,
1324,Policy and Planning Managers,Enterprise resource planning ERP software,,
1324,Policy and Planning Managers,Project management software,,
1324,Policy and Planning Managers,Content workflow software,,
1324,Policy and Planning Managers,Web platform development software,,
1324,Policy and Planning Managers,Data base user interface and query software,,
1325,Research and Development Managers,Graphics or photo imaging software,,
1325,Research and Development Managers,Project management software,,
1325,Research and Development Managers,Data base user interface and query software,,
1325,Research and Development Managers,"Simulation, design and modelling software",,
1325,Research and Development Managers,Database management software,,
1331,Construction Managers,Project management software,,
1331,Construction Managers,Enterprise resource planning ERP software,,
1331,Construction Managers,Data base user interface and query software,,
1331,Construction Managers,Computer aided design CAD software,,
1331,Construction Managers,Graphics or photo imaging software,,
1332,Engineering Managers,Object oriented development software,,
1332,Engineering Managers,Development environment software,,
1332,Engineering Managers,Project management software,,
1332,Engineering Managers,Web platform development software,,
1332,Engineering Managers,Database management software,,
1332,Engineering Managers,Enterprise resource planning ERP software,,
1333,"Importers, Exporters and Wholesalers",Enterprise resource planning ERP software,,
1333,"Importers, Exporters and Wholesalers",Data base user interface and query software,,
1333,"Importers, Exporters and Wholesalers",Accounting software,,
1333,"Importers, Exporters and Wholesalers",Business intelligence and data analysis software,,
1336,"Supply, Distribution and Procurement Managers",Enterprise resource planning ERP software,,
1336,"Supply, Distribution and Procurement Managers",Financial analysis software,,
1336,"Supply, Distribution and Procurement Managers",Data base user interface and query software,,
1336,"Supply, Distribution and Procurement Managers",Project management software,,
1336,"Supply, Distribution and Procurement Managers",Graphics or photo imaging software,,
1341,Child Care Centre Managers,Accounting software,,
1342,Health and Welfare Services Managers,Social media and web publishing software,,
1342,Health and Welfare Services Managers,Data base user interface and query software,,
1342,Health and Welfare Services Managers,Customer relationship management CRM software,,
1342,Health and Welfare Services Managers,Project management software,,
1342,Health and Welfare Services Managers,Enterprise resource planning ERP software,,
1343,School Principals,"Simulation, design and modelling software",,
1343,School Principals,Enterprise resource planning ERP software,,
1343,School Principals,Project management software,,
1343,School Principals,Database management software,,
1343,School Principals,Data base user interface and query software,,
1344,Other Education Managers,Social media and web publishing software,,
1344,Other Education Managers,Enterprise resource planning ERP software,,
1344,Other Education Managers,Data base user interface and query software,,
1344,Other Education Managers,"Simulation, design and modelling software",,
1344,Other Education Managers,Project management software,,
